楷飞,矫痢,荐鞭磊,畴飞楷陛(10斥捞惑~20斥固父)
60技,2012,207974,297775724
60技,2013,108849,1956244
60技,2014,56930,1091448
60技,2015,57006,1216255
60技,2016,47604,997194
60技,2017,51336,757398
60技,2018,38610,610244
60技,2019,38914,585222
60技,2020,37624,581248
60技,2021,31614,460624
61技,2012,170490,469345514
61技,2013,235112,648592430
61技,2014,197158,133370589
61技,2015,226593,269207546
61技,2016,272746,362379522
61技,2017,277327,350923741
61技,2018,66104,1510293
61技,2019,54433,622817
61技,2020,55741,574719
61技,2021,53744,577965
62技,2012,184799,480382052
62技,2013,174776,497500056
62技,2014,242237,682308145
62技,2015,215538,321854263
62技,2016,258682,639398486
62技,2017,314248,787502569
62技,2018,319748,803266286
62技,2019,337185,396780402
62技,2020,354029,404679231
62技,2021,399560,437884356
63技,2012,198086,399526890
63技,2013,187589,504004349
63技,2014,178119,517242523
63技,2015,247561,708974579
63技,2016,222330,354258508
63技,2017,268949,672790706
63技,2018,325031,829840380
63技,2019,331068,849998628
63技,2020,383182,889807203
63技,2021,403949,933651579
64技,2012,224513,252927630
64技,2013,199282,416205223
64技,2014,189644,521403179
64技,2015,180557,532982865
64技,2016,251799,730676817
64技,2017,228728,378796934
64技,2018,276028,704609666
64技,2019,333963,869851323
64技,2020,341050,877898950
64技,2021,396307,932370031
65技,2012,219732,342304677
65技,2013,224074,261534217
65技,2014,200071,429427730
65技,2015,191695,538278512
65技,2016,183837,549788195
65技,2017,259935,763221845
65技,2018,233046,399264738
65技,2019,282105,739892878
65技,2020,342540,896727995
65技,2021,349963,908738332
66技,2012,171291,255314185
66技,2013,218169,351852757
66技,2014,222576,265301572
66技,2015,199964,438529064
66技,2016,192389,548624039
66技,2017,185493,564672249
66技,2018,262422,795995208
66技,2019,240302,435349094
66技,2020,292958,776780802
66技,2021,357995,950239003
67技,2012,150029,195846992
67技,2013,169743,259508992
67技,2014,216306,353964726
67技,2015,220693,266661297
67技,2016,199166,440483368
67技,2017,192400,552691335
67技,2018,186116,574264358
67技,2019,263327,813388070
67技,2020,241878,458664934
67技,2021,295348,811942432
68技,2012,154425,172832295
68技,2013,148461,198709153
68技,2014,168084,260878138
68技,2015,214290,355412982
68技,2016,218922,266060997
68技,2017,198087,441452352
68技,2018,192200,559642976
68技,2019,186056,583975451
68技,2020,263255,813683400
68技,2021,242178,462825485
69技,2012,145426,143593283
69技,2013,152675,175507307
69技,2014,146702,199583108
69技,2015,166361,261686676
69技,2016,212204,354641252
69技,2017,216976,265435258
69技,2018,196929,445325613
69技,2019,191409,567031821
69技,2020,185479,582528375
69技,2021,262716,812753140
70技,2012,171141,2840272
70技,2013,143540,145514297
70技,2014,150802,176272769
70技,2015,144910,199884636
70技,2016,164560,260753089
70技,2017,210158,353994789
70技,2018,214764,266756138
70技,2019,195226,449979694
70技,2020,189933,563704710
70技,2021,184328,579765257
71技,2012,133508,91976
71技,2013,168354,2883337
71技,2014,141380,145442045
71技,2015,148771,176249204
71技,2016,143182,198996386
71技,2017,162513,260087150
71技,2018,207752,355998650
71技,2019,212398,268884929
71技,2020,193152,446260417
71技,2021,188041,559438439
72技,2012,111084,49556
72技,2013,131138,105766
72技,2014,165565,2893910
72技,2015,139353,145295757
72技,2016,146685,175416191
72技,2017,141361,198406336
72技,2018,160490,261096096
72技,2019,205140,358786042
72技,2020,209867,266329955
72技,2021,191027,442781596
73技,2012,88611,47033
73技,2013,108841,50863
73技,2014,128667,115401
73技,2015,162597,2873382
73技,2016,137180,144153161
73技,2017,144500,174410650
73技,2018,139305,199080712
73技,2019,158112,262290481
73技,2020,202233,355371902
73技,2021,207097,264149727
74技,2012,54132,45587
74技,2013,86573,48153
74技,2014,106590,51636
74技,2015,126042,110213
74技,2016,159416,2814543
74技,2017,134932,143167408
74技,2018,142112,174421395
74技,2019,137057,199915765
74技,2020,155653,259126651
74技,2021,199197,351693662
75技,2012,49532,29973
75技,2013,52842,46568
75技,2014,84514,48764
75技,2015,104133,52308
75技,2016,123410,105109
75技,2017,156130,2792653
75技,2018,132397,143022237
75技,2019,139482,174851693
75技,2020,134709,197246595
75技,2021,153098,256359562
76技,2012,45387,17653
76技,2013,48110,38743
76技,2014,51497,47277
76技,2015,82443,45545
76技,2016,101595,52752
76技,2017,120578,99799
76技,2018,152668,2796310
76技,2019,129514,143024767
76技,2020,136524,172322285
76技,2021,132088,194611404
77技,2012,39566,0
77技,2013,43942,7459
77技,2014,46662,31232
77技,2015,50106,47891
77技,2016,80254,44007
77技,2017,98796,60235
77技,2018,117478,105186
77技,2019,148841,2813491
77技,2020,126706,140283744
77技,2021,133488,169600186
78技,2012,28069,6779
78技,2013,38195,0
78技,2014,42587,7573
78技,2015,45196,31638
78技,2016,48558,44700
78技,2017,77758,44414
78技,2018,95992,50594
78技,2019,114179,94045
78技,2020,144857,2791346
78技,2021,123440,137724643
79技,2012,20849,0
79技,2013,26944,6958
79技,2014,36696,0
79技,2015,41116,7671
79技,2016,43619,31906
79技,2017,46888,40045
79技,2018,75114,45159
79技,2019,92707,53912
79技,2020,110646,85571
79技,2021,140444,2716791
80技捞惑,2012,31104,0
80技捞惑,2013,49312,0
80技捞惑,2014,72485,7064
80技捞惑,2015,103872,7156
80技捞惑,2016,137808,14953
80技捞惑,2017,172128,47292
80技捞惑,2018,207655,88802
80技捞惑,2019,267792,131044
80技捞惑,2020,342197,181168
80技捞惑,2021,430094,239439
